name,currency,sector,industry,market_cap,dscr,interest_coverage,debt_ebitda,current_ratio,dscr_score,interest_coverage_score,debt_ebitda_score,current_ratio_score,total_score,rating,risk_band,decision,reason_codes,ticker
4DS Memory Limited,AUD,Technology,Semiconductors,22669886.0,-1487.8,,-0.01,5.92,1,0,5,5,3.35,BBB,Medium,Decline,DSCR below 1.0x,4DS.AX
The a2 Milk Company Limited,AUD,Consumer Defensive,Packaged Foods,6650116096.0,7.67,117.87,0.32,3.22,5,5,5,5,5.0,AAA,Low,Approve,,A2M.AX
Alcoa Corporation,AUD,Basic Materials,Aluminum,22946799616.0,1.3,2.85,2.59,1.45,3,3,3,3,3.0,BBB,Medium,Review,,AAI.AX
Alfabs Australia Limited,AUD,Industrials,Conglomerates,116068144.0,1.33,35.03,1.26,1.12,3,5,4,2,3.4,BBB,Medium,Review,Tight liquidity: Current ratio 1.12x,AAL.AX
Acumentis Group Limited,AUD,Real Estate,Real Estate Services,16721629.0,2.38,17.36,0.53,1.17,5,5,5,2,4.4,AA,Low,Approve,,ACU.AX
Andromeda Metals Limited,AUD,Basic Materials,Other Industrial Metals & Mining,64728080.0,-285.53,,-0.07,2.26,1,0,5,5,3.35,BBB,Medium,Decline,DSCR below 1.0x,ADN.AX
ASF Group Limited,AUD,Financial Services,Capital Markets,37242692.0,-2.37,-2.72,-5.01,0.29,1,1,5,1,2.2,B,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AFA.AX
Australian Foundation Investment Company Limited,AUD,Financial Services,Asset Management,8971362304.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AFI.AX
AFT Corporation Limited,,,,1647536569843712.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AFT.AX
AGL Energy Limited,AUD,Utilities,Utilities - Independent Power Producers,6270004224.0,0.84,0.62,3.29,0.95,1,1,3,1,1.6,CCC,High,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AGL.AX
Argosy Minerals Limited,AUD,Basic Materials,Other Industrial Metals & Mining,200644720.0,-502.49,-695.4,-0.01,9.6,1,1,5,5,3.0,BBB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AGY.AX
Alternative Investment Trust,AUD,Financial Services,Asset Management,49987940.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AIQ.AX
Alexium International Group Limited,AUD,Basic Materials,Specialty Chemicals,9830358.0,-0.92,-29.74,-0.78,1.56,1,1,5,4,2.8,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AJX.AX
Aristocrat Leisure Limited,AUD,Consumer Cyclical,Gambling,35500974080.0,3.93,12.11,0.76,1.65,5,5,5,4,4.8,AAA,Low,Approve,,ALL.AX
Atlas Arteria Limited,AUD,Industrials,Infrastructure Operations,7196134912.0,2.28,3.93,4.16,2.73,5,3,2,5,3.8,A,Low,Approve,,ALX.AX
Amcor plc,AUD,Consumer Cyclical,Packaging & Containers,28828428288.0,1.93,2.64,8.49,1.21,4,3,1,3,2.75,BB,Medium,Decline,High leverage: Debt/EBITDA 8.49x,AMC.AX
Atomos Limited,AUD,Technology,Consumer Electronics,38553124.0,-2.0,-16.95,-0.27,1.57,1,1,5,4,2.8,BB,Medium,Decline,DSCR below 1.0x; Interest coverage below 1.5x,AMS.AX
