name,currency,sector,industry,market_cap,dscr,interest_coverage,debt_ebitda,current_ratio,dscr_score,interest_coverage_score,debt_ebitda_score,current_ratio_score,total_score,rating,risk_band,decision,reason_codes,ticker
Alcoa Corporation,AUD,Basic Materials,Aluminum,22946799616.0,1.3,2.85,2.59,1.45,3,3,3,3,3.0,BBB,Medium,Review,,AAI.AX
Alfabs Australia Limited,AUD,Industrials,Conglomerates,116068144.0,1.33,35.03,1.26,1.12,3,5,4,2,3.4,BBB,Medium,Review,Tight liquidity: Current ratio 1.12x,AAL.AX
Australian Foundation Investment Company Limited,AUD,Financial Services,Asset Management,8971362304.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AFI.AX
AFT Corporation Limited,,,,1647536569843712.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AFT.AX
Alternative Investment Trust,AUD,Financial Services,Asset Management,49987940.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,AIQ.AX
Anatara Lifesciences Ltd,AUD,Healthcare,Biotechnology,3763084.0,,,,5.66,0,0,0,5,5.0,AAA,Low,Unknown,Insufficient financial data to score (missing key line items/ratios).,ANR.AX
ANZ Group Holdings Limited,AUD,Financial Services,Banks - Diversified,108608577536.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,ANZ.AX
Aims Property Securities Fund,AUD,Real Estate,REIT - Diversified,138899280.0,,,,2.79,0,0,0,5,5.0,AAA,Low,Unknown,Insufficient financial data to score (missing key line items/ratios).,APW.AX
BSP Financial Group Limited,AUD,Financial Services,Banks - Regional,3782700288.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,BFL.AX
Boom Logistics Limited,AUD,Industrials,Specialty Business Services,67177608.0,1.84,7.46,2.44,1.16,4,5,3,2,3.45,BBB,Medium,Review,Tight liquidity: Current ratio 1.16x,BOL.AX
Blackstone Minerals Limited,AUD,Basic Materials,Other Industrial Metals & Mining,79416120.0,,,,2.33,0,0,0,5,5.0,AAA,Low,Unknown,Insufficient financial data to score (missing key line items/ratios).,BSX.AX
Commonwealth Bank of Australia,AUD,Financial Services,Banks - Diversified,270512668672.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,CBA.AX
Credit Corp Group Limited,AUD,Financial Services,Credit Services,957020032.0,1.03,4.69,2.38,6.91,2,4,3,5,3.2,BBB,Medium,Review,Weak cashflow coverage: DSCR 1.03x,CCP.AX
Cadence Capital Limited,AUD,Financial Services,Asset Management,210490432.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,CDM.AX
Contact Energy Limited,AUD,Utilities,Utilities - Renewable,8049697792.0,1.5,5.77,2.94,1.11,3,5,3,2,3.1,BBB,Medium,Review,Tight liquidity: Current ratio 1.11x,CEN.AX
Carlton Investments Ltd.,AUD,Financial Services,Asset Management,911960384.0,,,,,0,0,0,0,,NR,Unknown,Unknown,Insufficient financial data to score (missing key line items/ratios).,CIN.AX
